Serial No,Primary,Secondary,Tertiary,Source,Photographer,Receptacle,Lining,Image Name
1,Dry,NA,Wet,Apartment,Watsapp,Bin,None,IMG-20180119-WA0051.jpg
2,Wet,Dry,NA,Apartment,Watsapp,Bin,None,IMG-20180119-WA0052.jpg
3,Wet,Garden,Dry,House,Watsapp,Bin,None,IMG-20180122-WA0003.jpg
4,Dry,NA,NA,House,Watsapp,Bin,None,IMG-20180122-WA0004.jpg
5,Dry,Reject,NA,House,Watsapp,Bin,None,IMG-20180122-WA0005.jpg
6,Wet,Garden,Dry,House,Watsapp,Bin,None,IMG-20180122-WA0006.jpg
7,Dry,NA,NA,House,Watsapp,Bin,None,IMG-20180122-WA0011.jpg
8,Dry,NA,Wet,House,Watsapp,Bin,Plastic,IMG-20180122-WA0012.jpg
9,Dry,NA,NA,Apartment,Watsapp,Bin,None,IMG-20180122-WA0014.jpg
10,Dry,NA,NA,Apartment,Watsapp,Bin,None,IMG-20180122-WA0016.jpg
11,Wet,Dry,NA,House,Watsapp,Bin,None,IMG-20180123-WA0002.jpg
12,Dry,Wet,NA,Road Side,Watsapp,None,None,IMG-20180123-WA0006.jpg
13,Wet,Dry,NA,House,Watsapp,None,None,IMG-20180123-WA0007.jpg
14,Wet,Dry,NA,House,Watsapp,Bin,None,IMG-20180123-WA0008.jpg
15,Dry,NA,NA,House,Watsapp,Bin,None,IMG-20180123-WA0009.jpg
16,Dry,Wet,Garden,Road Side,Watsapp,None,None,IMG-20180124-WA0000.jpg
17,Dry,NA,NA,Road Side,Watsapp,None,None,IMG-20180124-WA0002.jpg
18,Dry,NA,NA,Road Side,Watsapp,None,None,IMG-20180124-WA0006.jpg
19,Dry,NA,Garden,Road Side,Watsapp,None,None,IMG-20180124-WA0007.jpg
20,Dry,Wet,NA,House,Watsapp,Bin,None,IMG-20180124-WA0013.jpg
21,Reject,NA,NA,House,Watsapp,Bin,None,IMG-20180129-WA0003.jpg
22,Dry,NA,NA,House,Watsapp,None,Brown Paper,IMG-20180129-WA0004.jpg
23,Dry,Wet,NA,House,Watsapp,Bin,Plastic,IMG-20180129-WA0005.jpg
24,Wet,NA,NA,House,Watsapp,Bin,None,IMG-20180129-WA0007.jpg
25,Wet,NA,NA,House,Watsapp,Bin,None,IMG-20180129-WA0008.jpg
26,Wet,NA,NA,House,Watsapp,Bin,None,IMG-20180129-WA0009.jpg
27,Wet,NA,NA,House,Watsapp,Bin,None,IMG-20180129-WA0010.jpg
28,Wet,NA,NA,House,Watsapp,Bin,None,IMG-20180129-WA0011.jpg
29,Wet,NA,NA,Apartment,Watsapp,Bin,None,IMG-20180129-WA0012.jpg
30,Wet,NA,NA,Apartment,Watsapp,Bin,None,IMG-20180129-WA0013.jpg
31,Wet,NA,NA,Apartment,Watsapp,Bin,None,IMG-20180129-WA0014.jpg
32,Dry,Wet,NA,Apartment,Watsapp,Bin,None,IMG-20180129-WA0015.jpg
33,Dry,Wet,NA,Apartment,Watsapp,Bin,None,IMG-20180129-WA0016.jpg
34,Wet,NA,NA,Apartment,Watsapp,Bin,None,IMG-20180129-WA0017.jpg
35,Wet,NA,NA,Apartment,Watsapp,Bin,None,IMG-20180129-WA0018.jpg
36,Wet,NA,NA,Apartment,Watsapp,Bin,None,IMG-20180129-WA0019.jpg
37,Dry,Wet,NA,Apartment,Watsapp,Bin,None,IMG-20180129-WA0020.jpg
38,Wet,NA,NA,House,Watsapp,Bin,Plastic,IMG-20180129-WA0021.jpg
39,Wet,NA,NA,House,Watsapp,Bin,Plastic,IMG-20180129-WA0022.jpg
40,Dry,NA,NA,House,Watsapp,Bin,None,IMG-20180129-WA0023.jpg
41,Wet,Dry,NA,Apartment,Watsapp,Bin,None,IMG-20180129-WA0024.jpg
42,Wet,NA,NA,House,Watsapp,Bin,Plastic,IMG-20180129-WA0025.jpg
43,Wet,NA,NA,House,Watsapp,Bin,Plastic,IMG-20180129-WA0026.jpg
44,Wet,NA,NA,House,Watsapp,Bin,Plastic,IMG-20180129-WA0027.jpg
45,Wet,Dry,NA,House,Watsapp,Bin,Plastic,IMG-20180129-WA0029.jpg
46,Dry,Wet,NA,House,Watsapp,Bin,None,IMG-20180129-WA0031.jpg
47,Dry,NA,NA,House,Watsapp,Bin,None,IMG-20180129-WA0032.jpg
48,Wet,NA,NA,House,Watsapp,Bin,None,IMG-20180129-WA0033.jpg
49,Dry,NA,NA,House,Watsapp,Bin,None,IMG-20180130-WA0001.jpg
50,Dry,NA,NA,House,Watsapp,Basket,None,IMG-20180130-WA0002.jpg
51,Wet,Dry,NA,House,Watsapp,Basket,None,IMG-20180130-WA0003.jpg
52,Dry,NA,Wet,House,Watsapp,Bin,None,IMG-20180130-WA0004.jpg
53,Dry,NA,Wet,House,Watsapp,Bin,None,IMG-20180130-WA0005.jpg
54,Dry,NA,NA,House,Watsapp,Bin,None,IMG-20180130-WA0006.jpg
55,Garden,Wet,NA,House,Watsapp,Bin,None,IMG-20180130-WA0008.jpg
56,Wet,Dry,NA,House,Watsapp,Bin,None,IMG-20180130-WA0009.jpg
57,Dry,NA,NA,House,Watsapp,Bin,None,IMG-20180130-WA0010.jpg
58,Wet,NA,NA,Apartment,Watsapp,Bin,None,IMG-20180130-WA0011.jpg
59,Dry,NA,Wet,House,Watsapp,Bin,None,IMG-20180130-WA0015.jpg
60,Garden,Wet,NA,House,Watsapp,Bin,None,IMG-20180130-WA0016.jpg
61,Wet,Dry,NA,House,Watsapp,Bin,None,IMG-20180130-WA0017.jpg
62,Dry,NA,NA,House,Watsapp,Bin,None,IMG-20180130-WA0018.jpg
63,Wet,NA,NA,Apartment,Watsapp,Bin,None,IMG-20180131-WA0000.jpg
64,Wet,NA,NA,Apartment,Watsapp,Bin,None,IMG-20180131-WA0001.jpg
65,Dry,NA,Wet,Apartment,Watsapp,Bin,None,IMG-20180131-WA0002.jpg
66,Wet,NA,NA,House,Watsapp,Bin,None,IMG-20180131-WA0003.jpg
67,Wet,NA,NA,Apartment,Watsapp,Bin,None,IMG-20180131-WA0004.jpg
68,Wet,NA,NA,Apartment,Watsapp,Bin,None,IMG-20180131-WA0005.jpg
69,Wet,NA,NA,Apartment,Watsapp,None,None,IMG-20180131-WA0006.jpg
70,Dry,NA,Wet,House,Watsapp,Bin,None,IMG-20180131-WA0007.jpg
71,Wet,NA,NA,House,Watsapp,Bin,None,IMG-20180131-WA0008.jpg
72,Wet,NA,NA,Apartment,Watsapp,Bin,None,IMG-20180131-WA0009.jpg
73,Wet,NA,NA,Apartment,Watsapp,Bin,None,IMG-20180131-WA0010.jpg
74,Wet,NA,NA,Apartment,Watsapp,Bin,None,IMG-20180131-WA0011.jpg
75,Wet,NA,NA,House,Watsapp,None,None,IMG-20180131-WA0012.jpg
76,Wet,NA,NA,House,Watsapp,Bin,None,IMG-20180131-WA0013.jpg
77,Wet,NA,NA,House,Watsapp,Bin,None,IMG-20180131-WA0014.jpg
78,Dry,NA,NA,House,Watsapp,Basket,None,IMG-20180131-WA0015.jpg
79,Dry,Garden,NA,House,Watsapp,None,Plastic,IMG-20180131-WA0016.jpg
80,Dry,NA,Wet,House,Watsapp,Bin,None,IMG-20180131-WA0018.jpg
81,Wet,NA,NA,House,Watsapp,Bin,None,IMG-20180131-WA0019.jpg
82,Wet,NA,NA,House,Watsapp,Bin,None,IMG-20180131-WA0020.jpg
83,Wet,NA,NA,House,Watsapp,Bin,None,IMG-20180131-WA0021.jpg
84,Wet,NA,NA,House,Watsapp,None,None,IMG-20180131-WA0022.jpg
85,Dry,Wet,NA,House,Watsapp,Bin,None,IMG-20180131-WA0023.jpg
86,Dry,NA,NA,House,Watsapp,Bin,Plastic,IMG-20180131-WA0024.jpg
87,Dry,NA,NA,House,Watsapp,Bin,Plastic,IMG-20180131-WA0025.jpg
88,Dry,NA,NA,House,Watsapp,Bin,Plastic,IMG-20180131-WA0026.jpg
89,Dry,NA,Garden,House,Watsapp,Bin,Plastic,IMG-20180131-WA0027.jpg
90,Wet,NA,NA,House,Watsapp,Bin,None,IMG-20180131-WA0028.jpg
91,Dry,Wet,NA,House,Watsapp,Bin,None,IMG-20180202-WA0000.jpg
92,Dry,NA,Wet,House,Watsapp,Bin,None,IMG-20180204-WA0030.jpg
93,Wet,Dry,NA,House,Watsapp,Bin,None,IMG-20180204-WA0031.jpg
94,Dry,NA,Wet,House,Watsapp,Bin,None,IMG-20180204-WA0032.jpg
95,Dry,NA,NA,House,Watsapp,Bin,None,IMG-20180204-WA0033.jpg
96,Dry,NA,Wet,House,Watsapp,Bin,None,IMG-20180204-WA0034.jpg
97,Dry,NA,NA,House,Watsapp,Bin,None,IMG-20180204-WA0035.jpg
98,Dry,NA,NA,House,Watsapp,Bin,None,IMG-20180204-WA0037.jpg
99,Dry,NA,NA,House,Watsapp,Bin,None,IMG-20180204-WA0039.jpg
100,Dry,Wet,NA,House,Watsapp,Bin,Plastic,IMG-20180204-WA0040.jpg
